Datum, Value
MHHW,9.301
MHW,8.967
DTL,5.640
MTL,5.594
MSL,5.604
MLW,2.224
MLLW,1.982
GT,7.320
MN,6.742
DHQ,0.335
DLQ,0.243
NAVD,5.823
LWI,33.268
HWI,12.500
